#SDSS_name	plate-mjd-fibre	RA	Dec.	zQSO	PSF_i	z	z_err	W_2796	W_2796_err	W_2803	W_2803_err	CIV_flag	SNR_con
143650.17-011228.0 00919-52409-0535 219.209080 -1.207800 1.676 18.199 1.276 0.000 0.381 0.062 0.194 0.062 0 21.823
143825.91-012253.6 00919-52409-0573 219.607970 -1.381570 1.771 18.865 0.601 0.461 1.611 0.156 1.030 0.146 0 12.504
143915.39-015623.7 00919-52409-0595 219.814150 -1.939930 2.161 18.357 2.072 0.533 2.493 0.139 2.177 0.149 0 18.519
144102.63-013845.8 00919-52409-0634 220.260970 -1.646060 1.123 18.599 0.367 0.290 1.542 0.108 1.488 0.158 0 14.252
144059.24-012920.7 00919-52409-0639 220.246840 -1.489090 1.270 18.708 0.367 0.043 1.187 0.132 0.513 0.126 0 14.210
152709.90-015327.2 00924-52409-0025 231.791260 -1.890890 1.945 19.092 1.568 0.000 1.417 0.168 1.007 0.139 0 7.492
152709.90-015327.2 00924-52409-0025 231.791260 -1.890890 1.945 19.092 1.596 0.000 1.629 0.183 1.000 0.110 0 7.492
151902.51-014110.1 00924-52409-0265 229.760470 -1.686140 1.795 19.252 1.602 0.000 1.009 0.149 0.459 0.152 0 7.581
151934.43-011041.3 00924-52409-0439 229.893500 -1.178160 1.860 18.439 1.139 0.654 2.413 0.210 1.417 0.164 0 11.280
152424.79-005655.0 00924-52409-0534 231.103330 -0.948620 1.761 18.858 1.400 0.869 1.822 0.096 1.538 0.117 0 12.327
152552.72-013716.1 00924-52409-0596 231.469670 -1.621140 1.920 18.913 1.163 0.955 0.756 0.098 0.719 0.115 0 12.770
144741.76-020339.1 00920-52411-0104 221.924030 -2.060880 1.427 18.613 1.029 0.368 0.939 0.088 1.100 0.095 0 21.929
144428.63-012344.0 00920-52411-0422 221.119300 -1.395560 4.179 19.405 1.336 0.000 1.512 0.167 0.986 0.149 1 8.333
144715.50-014836.2 00920-52411-0503 221.814600 -1.810060 1.600 18.688 1.355 0.000 1.209 0.083 0.895 0.077 0 16.900
144731.25-015317.0 00920-52411-0542 221.880230 -1.888070 1.803 18.362 1.410 0.937 0.954 0.070 0.706 0.076 0 18.189
144831.66-011239.2 00920-52411-0576 222.131940 -1.210890 2.066 19.033 0.710 0.551 1.072 0.146 0.764 0.134 1 11.682
145019.25-011740.3 00920-52411-0617 222.580220 -1.294530 3.454 18.885 1.410 0.000 1.139 0.120 0.483 0.112 1 10.882
145019.25-011740.3 00920-52411-0617 222.580220 -1.294530 3.454 18.885 2.065 0.000 1.717 0.280 0.963 0.249 0 10.882
153400.51-015417.3 00925-52411-0162 233.502170 -1.904820 1.227 19.396 0.365 0.261 2.255 0.238 1.158 0.269 0 9.233
153220.41-015013.2 00925-52411-0200 233.085050 -1.837020 2.212 18.825 1.718 0.000 1.532 0.148 0.390 0.110 0 14.002
153012.58-020727.8 00925-52411-0258 232.552410 -2.124400 0.890 18.430 0.397 0.340 0.711 0.116 0.517 0.125 0 16.528
152817.20-023314.6 00925-52411-0288 232.071700 -2.554080 1.643 18.647 1.531 0.000 1.117 0.144 0.560 0.127 0 13.266
153229.14-011313.5 00925-52411-0441 233.121410 -1.220420 1.765 19.090 1.064 0.000 0.854 0.134 0.533 0.110 0 13.237
153352.72-012115.4 00925-52411-0503 233.469670 -1.354280 1.916 18.883 1.338 0.000 0.636 0.086 0.571 0.087 0 15.857
103455.00+560342.9 00947-52411-0003 158.729190 56.061930 1.040 18.497 1.006 0.354 1.949 0.137 1.642 0.123 0 15.427
103339.05+555321.9 00947-52411-0006 158.412730 55.889420 2.478 17.936 1.257 0.365 1.476 0.111 0.853 0.090 0 19.228
103716.98+563456.9 00947-52411-0040 159.320790 56.582470 1.253 18.956 1.133 0.712 0.806 0.124 0.477 0.106 0 13.940
102937.84+560606.8 00947-52411-0083 157.407710 56.101890 3.663 19.440 1.829 0.000 2.012 0.286 1.383 0.251 0 7.016
102820.33+561204.6 00947-52411-0139 157.084720 56.201280 2.091 17.701 1.145 0.300 1.060 0.067 0.835 0.060 0 27.315
102820.33+561204.6 00947-52411-0139 157.084720 56.201280 2.091 17.701 1.394 0.286 1.879 0.074 1.666 0.065 0 27.315
102820.33+561204.6 00947-52411-0139 157.084720 56.201280 2.091 17.701 1.443 0.615 1.040 0.077 0.558 0.070 0 27.315
103219.66+563456.6 00947-52411-0145 158.081920 56.582410 2.017 19.747 1.614 0.000 2.272 0.370 1.830 0.317 0 5.754
103134.04+562050.8 00947-52411-0149 157.891850 56.347470 3.214 19.598 1.624 0.547 2.043 0.270 1.056 0.243 0 5.304
103024.18+561832.8 00947-52411-0179 157.600780 56.309120 1.288 17.830 0.649 0.222 1.015 0.088 0.894 0.078 0 23.843
103024.18+561832.8 00947-52411-0179 157.600780 56.309120 1.288 17.830 1.153 0.479 0.778 0.071 0.406 0.062 0 23.843
102825.52+562110.2 00947-52411-0185 157.106350 56.352830 1.749 18.879 1.097 0.458 2.014 0.129 1.781 0.131 0 14.727
102825.52+562110.2 00947-52411-0185 157.106350 56.352830 1.749 18.879 1.392 0.626 1.603 0.105 1.390 0.112 0 14.727
102708.90+562806.8 00947-52411-0188 156.787120 56.468560 2.508 18.692 0.859 0.490 0.449 0.072 0.532 0.089 1 16.887
102636.56+553148.6 00947-52411-0251 156.652330 55.530190 1.879 19.458 1.311 0.000 2.628 0.297 1.969 0.286 0 6.828
101947.27+561915.3 00947-52411-0311 154.947000 56.320940 0.939 17.867 0.898 0.161 1.822 0.088 1.569 0.082 0 19.759
103508.02+571255.9 00947-52411-0596 158.783430 57.215540 2.588 19.663 0.604 0.279 2.211 0.199 2.328 0.225 1 9.918
103508.02+571255.9 00947-52411-0596 158.783430 57.215540 2.588 19.663 1.203 0.000 1.157 0.134 0.881 0.131 0 9.918
154201.95-020649.6 00926-52413-0100 235.508130 -2.113780 0.482 17.586 0.366 0.486 0.572 0.081 0.299 0.064 0 19.874
153858.62-014807.6 00926-52413-0265 234.744300 -1.802130 0.810 17.660 0.638 0.229 0.779 0.071 0.669 0.067 0 24.912
154132.76-010756.9 00926-52413-0459 235.386540 -1.132480 1.730 18.698 1.565 0.000 0.898 0.112 0.627 0.107 0 11.535
154608.82-010123.2 00926-52413-0617 236.536770 -1.023120 1.732 18.528 1.645 0.000 1.284 0.107 0.521 0.087 0 14.169
125309.03+043253.8 00847-52426-0023 193.287670 4.548280 1.782 18.322 0.636 0.232 1.008 0.125 0.842 0.127 0 15.957
125128.77+041602.5 00847-52426-0070 192.869890 4.267360 2.026 19.142 1.413 0.000 0.811 0.125 0.413 0.115 0 9.979
125128.77+041602.5 00847-52426-0070 192.869890 4.267360 2.026 19.142 1.539 0.000 0.735 0.122 0.435 0.114 0 9.979
124748.44+042627.1 00847-52426-0180 191.951860 4.440870 2.783 18.544 1.196 0.833 1.105 0.116 1.155 0.113 0 16.015
124748.44+042627.1 00847-52426-0180 191.951860 4.440870 2.783 18.544 1.233 0.901 1.012 0.101 0.932 0.093 0 16.015
124626.57+044208.7 00847-52426-0226 191.610730 4.702440 1.435 18.908 0.477 0.265 1.124 0.152 1.414 0.211 0 14.287
124602.04+042658.4 00847-52426-0232 191.508540 4.449570 2.439 18.494 1.516 0.780 2.288 0.122 1.702 0.101 0 14.983
124511.94+041637.5 00847-52426-0269 191.299760 4.277090 1.525 18.302 1.484 0.687 1.170 0.088 0.912 0.083 0 20.458
124304.82+052116.1 00847-52426-0357 190.770100 5.354490 1.906 18.234 0.818 0.408 0.525 0.081 0.575 0.081 0 19.142
124620.15+054313.6 00847-52426-0370 191.583980 5.720460 3.625 19.675 1.386 0.000 2.722 0.280 2.113 0.263 1 6.307
124437.49+050029.8 00847-52426-0395 191.156220 5.008290 1.246 17.708 1.083 0.129 2.036 0.067 1.960 0.083 0 24.862
124603.24+051557.5 00847-52426-0422 191.513530 5.265970 1.459 18.695 1.255 0.665 1.117 0.100 1.187 0.109 0 14.139
125037.76+055524.9 00847-52426-0576 192.657360 5.923590 1.463 18.710 1.341 0.000 1.423 0.139 0.845 0.131 0 10.472
133545.41-031618.5 00911-52426-0043 203.939220 -3.271830 1.640 18.555 1.165 0.815 1.272 0.110 1.111 0.139 0 14.620
133217.88-024049.5 00911-52426-0163 203.074540 -2.680430 1.049 18.443 0.728 0.254 1.931 0.116 1.639 0.098 0 18.436
132758.83-023025.4 00911-52426-0308 201.995150 -2.507070 2.344 19.041 0.827 0.704 1.155 0.147 0.742 0.139 1 12.214
132758.83-023025.4 00911-52426-0308 201.995150 -2.507070 2.344 19.041 1.395 0.000 0.626 0.092 0.453 0.100 0 12.214
133247.79-015554.7 00911-52426-0507 203.199140 -1.931870 1.235 19.046 0.568 0.797 1.332 0.181 0.570 0.145 0 10.256
150739.22-022134.3 00922-52426-0106 226.913450 -2.359540 1.756 18.534 1.444 0.740 1.232 0.097 1.231 0.097 0 15.397
150422.10-024556.8 00922-52426-0123 226.092120 -2.765790 2.073 19.096 0.715 0.468 0.787 0.117 1.078 0.153 0 12.661
150259.66-020256.0 00922-52426-0237 225.748610 -2.048910 3.175 20.166 1.375 0.000 2.073 0.338 0.997 0.307 0 3.055
150432.60-015610.7 00922-52426-0473 226.135850 -1.936330 1.363 19.001 0.890 0.683 1.711 0.148 2.021 0.168 0 11.304
150749.83-013312.7 00922-52426-0544 226.957630 -1.553550 1.354 18.841 0.630 0.687 1.277 0.166 0.952 0.147 0 10.362
151044.19-014846.0 00922-52426-0624 227.684130 -1.812790 2.044 18.958 1.850 0.822 1.605 0.157 1.415 0.159 0 12.515
133819.96-025250.8 00912-52427-0192 204.583180 -2.880790 0.578 18.445 0.545 0.254 1.546 0.148 1.165 0.144 0 9.686
133649.48-022352.3 00912-52427-0237 204.206190 -2.397890 1.537 18.942 1.179 0.000 1.215 0.153 0.752 0.109 0 11.952
133636.25-020416.6 00912-52427-0391 204.151060 -2.071290 2.250 18.947 1.483 0.000 1.522 0.138 1.136 0.114 0 11.297
133636.25-020416.6 00912-52427-0391 204.151060 -2.071290 2.250 18.947 1.867 0.000 1.633 0.212 1.473 0.229 0 11.297
134007.21-014918.3 00912-52427-0513 205.030040 -1.821760 1.541 19.098 1.463 0.000 1.032 0.121 0.289 0.074 0 13.823
133935.70-013626.3 00912-52427-0532 204.898770 -1.607310 1.674 18.159 1.411 0.465 1.478 0.081 1.205 0.078 0 22.066
134022.42-013823.3 00912-52427-0577 205.093430 -1.639810 1.610 18.771 0.815 0.447 2.194 0.153 2.120 0.141 0 13.694
134022.42-013823.3 00912-52427-0577 205.093430 -1.639810 1.610 18.771 1.570 0.715 2.861 0.134 2.602 0.128 0 13.694
134121.33-020856.4 00912-52427-0598 205.338910 -2.149010 2.086 17.108 1.573 0.340 0.647 0.055 0.464 0.055 0 29.463
134247.54-013325.1 00912-52427-0614 205.698120 -1.556980 1.854 19.407 0.816 0.780 1.708 0.180 1.144 0.164 0 8.388
134417.05-015711.2 00912-52427-0623 206.071080 -1.953130 1.363 19.103 0.757 0.472 1.863 0.167 2.102 0.191 0 9.782
105146.05+592214.0 00949-52427-0402 162.941880 59.370560 2.904 18.715 1.643 0.615 1.827 0.140 1.488 0.117 0 11.934
105158.52+590652.0 00949-52427-0417 162.993870 59.114470 1.813 18.169 0.817 0.268 1.645 0.110 1.160 0.099 0 18.209
105259.87+592234.0 00949-52427-0456 163.249470 59.376120 1.703 18.506 1.153 0.594 1.919 0.163 1.414 0.161 0 13.995
105259.87+592234.0 00949-52427-0456 163.249470 59.376120 1.703 18.506 1.344 0.644 1.326 0.093 0.991 0.074 0 13.995
105259.87+592234.0 00949-52427-0456 163.249470 59.376120 1.703 18.506 1.638 0.651 1.529 0.126 1.381 0.119 0 13.995
104932.77+581107.3 00949-52427-0476 162.386580 58.185380 2.276 18.837 1.497 0.726 2.227 0.118 0.453 0.110 0 12.518
104932.77+581107.3 00949-52427-0476 162.386580 58.185380 2.276 18.837 1.685 0.712 2.970 0.200 2.638 0.199 0 12.518
105549.88+582601.5 00949-52427-0507 163.957840 58.433750 1.526 18.824 1.144 0.726 0.711 0.116 0.614 0.108 0 14.884
105524.56+580957.4 00949-52427-0511 163.852360 58.165960 2.417 18.730 1.467 0.744 2.492 0.130 1.492 0.110 0 15.048
105447.28+581909.5 00949-52427-0512 163.697000 58.319320 1.653 17.763 1.024 0.283 1.030 0.068 0.819 0.082 0 26.103
105834.49+585438.9 00949-52427-0611 164.643740 58.910810 3.175 19.861 1.441 0.000 2.140 0.220 1.710 0.216 0 5.951
110356.53+582434.5 00949-52427-0630 165.985570 58.409590 1.484 18.276 0.859 0.268 2.588 0.118 2.203 0.123 0 18.129
104355.51+562757.0 00948-52428-0084 160.981310 56.465860 1.948 17.188 0.541 0.204 0.976 0.106 0.495 0.083 1 28.675
104121.88+563001.2 00948-52428-0123 160.341190 56.500350 2.052 18.174 0.978 0.472 0.369 0.059 0.624 0.065 0 22.418
104121.88+563001.2 00948-52428-0123 160.341190 56.500350 2.052 18.174 1.606 0.629 1.691 0.099 1.158 0.100 0 22.418
104135.60+565654.1 00948-52428-0163 160.398350 56.948370 1.542 18.874 1.150 0.658 1.223 0.128 1.479 0.144 0 14.773
104155.18+571603.0 00948-52428-0173 160.479970 57.267510 1.721 17.735 1.295 0.343 0.901 0.064 0.819 0.064 0 26.258
103800.49+582343.0 00948-52428-0370 159.502080 58.395300 2.697 18.210 1.932 0.622 1.293 0.150 1.897 0.161 0 16.403
103931.15+581709.4 00948-52428-0415 159.879800 58.285970 1.830 18.190 0.674 0.172 2.818 0.108 2.242 0.095 0 21.124
104111.46+573848.4 00948-52428-0479 160.297760 57.646780 2.085 18.741 1.078 0.451 0.786 0.091 0.768 0.087 0 15.049
104111.46+573848.4 00948-52428-0479 160.297760 57.646780 2.085 18.741 1.737 0.000 2.097 0.172 1.889 0.173 0 15.049
122135.12+522140.4 00883-52430-0040 185.396350 52.361230 2.275 18.739 1.815 0.830 1.154 0.147 1.174 0.134 0 11.881
121233.17+513644.9 00883-52430-0135 183.138210 51.612480 0.422 19.033 0.379 0.190 1.492 0.212 0.973 0.227 0 4.612
120637.56+512235.3 00883-52430-0285 181.656510 51.376480 1.313 19.046 0.799 0.372 1.564 0.162 1.172 0.143 0 12.278
120406.34+522219.2 00883-52430-0313 181.026460 52.372010 1.730 18.803 1.276 0.308 1.082 0.111 1.850 0.152 0 11.585
120406.34+522219.2 00883-52430-0313 181.026460 52.372010 1.730 18.803 1.678 0.683 2.995 0.209 2.477 0.189 0 11.585
120554.32+531648.6 00883-52430-0335 181.476350 53.280190 1.789 19.077 0.670 0.408 3.059 0.307 2.402 0.328 0 7.363
121034.97+531658.8 00883-52430-0416 182.645720 53.283000 1.791 18.421 1.183 0.780 0.953 0.100 0.710 0.132 0 15.770
121335.00+523634.3 00883-52430-0495 183.395840 52.609530 1.191 19.070 0.998 0.565 1.885 0.153 1.896 0.166 0 11.411
121409.25+530044.2 00883-52430-0502 183.538570 53.012300 2.132 17.176 1.615 0.193 1.707 0.078 1.415 0.065 0 30.185
121539.88+525320.0 00883-52430-0543 183.916180 52.888910 1.297 17.885 0.457 0.132 1.150 0.088 0.840 0.088 0 25.089
121539.88+525320.0 00883-52430-0543 183.916180 52.888910 1.297 17.885 0.951 0.440 0.710 0.079 0.466 0.060 0 25.089
122128.75+530723.0 00883-52430-0615 185.369800 53.123070 1.189 18.988 0.951 0.000 1.134 0.162 0.659 0.139 0 8.939
122032.26+522538.1 00883-52430-0631 185.134410 52.427270 1.257 18.225 0.376 0.000 1.004 0.152 1.007 0.173 0 12.719
134914.15-031739.8 00913-52433-0008 207.308990 -3.294410 1.334 19.075 1.256 0.840 0.934 0.152 1.176 0.140 0 12.630
134928.79-030647.2 00913-52433-0010 207.369980 -3.113130 1.722 17.351 1.557 0.637 0.524 0.065 0.343 0.071 0 27.050
134855.27-032141.4 00913-52433-0046 207.230320 -3.361500 2.099 17.255 0.696 0.100 1.328 0.057 0.987 0.052 1 29.729
134544.79-030137.8 00913-52433-0137 206.436650 -3.027180 1.992 18.479 1.311 0.519 1.550 0.096 1.306 0.086 0 18.600
134416.87-032316.5 00913-52433-0248 206.070310 -3.387930 3.266 18.964 1.860 0.000 1.225 0.169 1.349 0.208 0 11.640
134412.19-012633.7 00913-52433-0380 206.050800 -1.442720 3.810 19.861 1.325 0.000 1.780 0.252 1.420 0.265 1 4.455
134606.16-012552.5 00913-52433-0453 206.525680 -1.431280 1.712 18.938 1.474 0.962 1.313 0.087 1.428 0.112 0 13.650
134541.67-020927.0 00913-52433-0476 206.423650 -2.157510 1.245 18.628 0.628 0.308 1.515 0.129 1.414 0.128 0 15.478
134657.88-012119.2 00913-52433-0522 206.741180 -1.355350 1.515 18.703 0.763 0.536 0.783 0.085 0.565 0.077 0 23.774
134732.47-012004.0 00913-52433-0529 206.885280 -1.334470 1.738 17.953 0.371 0.154 0.591 0.078 0.281 0.057 1 23.575
134732.47-012004.0 00913-52433-0529 206.885280 -1.334470 1.738 17.953 1.512 0.830 1.037 0.087 0.685 0.081 0 23.575
134749.23-015224.3 00913-52433-0554 206.955150 -1.873440 1.936 18.210 1.028 0.515 0.641 0.076 0.713 0.067 0 23.283
135055.19-013651.9 00913-52433-0615 207.729970 -1.614430 1.682 18.361 0.925 0.483 0.801 0.089 0.728 0.113 0 15.880
145028.77+561901.7 00791-52435-0059 222.619870 56.317140 1.784 18.664 0.792 0.536 1.056 0.111 0.730 0.094 0 15.343
144557.44+562615.8 00791-52435-0179 221.489350 56.437740 1.372 17.923 0.775 0.422 0.915 0.079 0.242 0.063 0 23.267
144306.66+563112.7 00791-52435-0194 220.777790 56.520210 2.463 18.606 0.782 0.501 0.749 0.094 0.346 0.115 1 15.682
143632.31+563319.4 00791-52435-0305 219.134640 56.555400 1.767 18.742 0.495 0.350 2.703 0.433 1.435 0.355 1 7.907
144403.94+565751.4 00791-52435-0431 221.016450 56.964300 1.856 17.934 1.044 0.257 1.848 0.096 1.891 0.101 0 22.929
144936.11+570336.1 00791-52435-0516 222.400470 57.060030 1.205 18.432 0.425 0.304 0.902 0.139 0.787 0.128 0 17.959
145430.35+570516.3 00791-52435-0634 223.626480 57.087860 1.523 18.922 0.372 0.308 1.972 0.169 0.531 0.136 1 11.305
170409.17+360901.1 00820-52438-0021 256.038240 36.150310 1.194 18.801 0.731 0.250 1.429 0.106 0.405 0.116 0 14.696
170409.17+360901.1 00820-52438-0021 256.038240 36.150310 1.194 18.801 0.862 0.343 1.485 0.119 1.536 0.126 0 14.696
170409.17+360901.1 00820-52438-0021 256.038240 36.150310 1.194 18.801 1.150 0.726 1.430 0.112 0.803 0.113 0 14.696
165837.27+354211.9 00820-52438-0144 254.655290 35.703310 2.245 19.195 0.733 0.597 3.267 0.210 2.491 0.190 1 13.935
165837.27+354211.9 00820-52438-0144 254.655290 35.703310 2.245 19.195 1.670 0.000 0.840 0.124 0.433 0.105 0 13.935
165802.62+360504.1 00820-52438-0153 254.510930 36.084490 2.115 17.958 1.077 0.565 0.634 0.063 0.643 0.067 0 27.828
165802.62+360504.1 00820-52438-0153 254.510930 36.084490 2.115 17.958 1.385 0.000 0.431 0.060 0.386 0.056 0 27.828
165802.62+360504.1 00820-52438-0153 254.510930 36.084490 2.115 17.958 1.597 0.490 1.143 0.068 1.005 0.057 0 27.828
165825.62+355652.4 00820-52438-0160 254.606800 35.947920 1.001 18.512 0.934 0.540 0.845 0.080 0.734 0.073 0 21.809
165520.41+355615.9 00820-52438-0190 253.835050 35.937760 1.281 18.964 0.381 0.272 1.944 0.132 1.153 0.130 0 19.209
165520.41+355615.9 00820-52438-0190 253.835050 35.937760 1.281 18.964 1.082 0.468 1.199 0.094 0.951 0.095 0 19.209
165248.94+352134.2 00820-52438-0284 253.203920 35.359500 1.499 18.351 1.274 0.000 1.379 0.089 1.082 0.085 0 18.467
165156.22+353504.3 00820-52438-0290 252.984280 35.584530 1.334 19.848 1.229 0.000 1.692 0.225 1.871 0.209 0 7.707
165302.26+371233.8 00820-52438-0324 253.259450 37.209390 1.663 19.870 0.789 0.876 1.428 0.204 1.228 0.212 0 6.794
165329.08+370511.4 00820-52438-0338 253.371190 37.086520 1.860 20.096 1.491 0.000 1.928 0.251 1.432 0.282 0 6.372
165745.45+365151.3 00820-52438-0498 254.439390 36.864270 1.534 17.977 1.038 0.840 0.597 0.081 0.250 0.063 0 24.693
130822.09+042750.7 00849-52439-0029 197.092070 4.464080 1.721 18.986 0.875 0.404 1.986 0.178 2.030 0.182 0 8.936
130307.05+043735.8 00849-52439-0173 195.779390 4.626640 1.871 17.418 0.905 0.179 1.005 0.069 0.192 0.060 0 26.878
130307.05+043735.8 00849-52439-0173 195.779390 4.626640 1.871 17.418 1.273 0.190 2.023 0.065 1.839 0.069 0 26.878
130307.05+043735.8 00849-52439-0173 195.779390 4.626640 1.871 17.418 1.306 0.190 2.067 0.070 1.840 0.067 0 26.878
130055.67+055620.6 00849-52439-0330 195.231960 5.939070 2.446 17.993 1.494 0.465 0.952 0.076 0.788 0.094 0 19.408
130004.98+055515.5 00849-52439-0338 195.020770 5.920990 1.494 18.841 1.451 0.751 4.025 0.183 3.149 0.185 0 8.897
130227.62+060835.5 00849-52439-0402 195.615100 6.143210 1.390 17.731 0.596 0.229 1.273 0.099 0.865 0.088 0 20.854
130132.50+053635.1 00849-52439-0465 195.385450 5.609760 1.289 18.835 0.902 0.780 0.955 0.152 0.606 0.149 0 8.927
130128.48+050203.9 00849-52439-0475 195.368670 5.034430 1.215 19.003 0.964 0.318 1.261 0.118 1.321 0.119 0 11.565
144405.65+571444.8 00790-52441-0024 221.023570 57.245790 1.800 18.127 1.462 0.640 1.923 0.089 1.292 0.088 0 15.525
144405.65+571444.8 00790-52441-0024 221.023570 57.245790 1.800 18.127 1.566 0.676 1.280 0.079 0.876 0.074 0 15.525
143934.15+570110.2 00790-52441-0058 219.892290 57.019500 2.035 19.052 1.489 0.000 1.071 0.127 0.775 0.107 0 11.061
143124.30+572803.4 00790-52441-0186 217.851270 57.467640 2.068 18.293 1.691 0.654 0.941 0.074 0.706 0.074 0 19.061
143124.30+572803.4 00790-52441-0186 217.851270 57.467640 2.068 18.293 1.794 0.515 1.368 0.094 1.214 0.096 0 19.061
143118.10+572428.6 00790-52441-0191 217.825420 57.407950 3.231 18.678 1.556 0.000 0.684 0.082 0.367 0.082 0 15.410
143823.90+585824.5 00790-52441-0526 219.599620 58.973480 1.156 17.889 0.553 0.136 0.917 0.082 0.764 0.082 0 25.586
143823.90+585824.5 00790-52441-0526 219.599620 58.973480 1.156 17.889 0.568 0.172 0.918 0.073 0.851 0.078 0 25.586
143823.90+585824.5 00790-52441-0526 219.599620 58.973480 1.156 17.889 0.636 0.211 0.870 0.077 0.552 0.073 0 25.586
162120.50+444553.7 00814-52443-0030 245.335460 44.764920 1.577 18.481 0.900 0.261 1.841 0.108 1.805 0.114 0 18.681
161801.99+441219.1 00814-52443-0041 244.508300 44.205320 2.073 18.693 1.574 0.658 1.658 0.100 1.671 0.120 0 13.843
161801.99+441219.1 00814-52443-0041 244.508300 44.205320 2.073 18.693 1.650 0.701 1.060 0.095 1.127 0.103 0 13.843
161833.65+442601.8 00814-52443-0106 244.640210 44.433850 1.460 19.028 0.649 0.619 1.049 0.174 0.719 0.140 0 12.223
161931.13+444625.4 00814-52443-0118 244.879730 44.773740 1.411 18.194 0.738 0.497 0.825 0.088 0.573 0.075 0 22.252
161931.13+444625.4 00814-52443-0118 244.879730 44.773740 1.411 18.194 0.758 0.654 0.353 0.057 0.211 0.070 0 22.252
161433.77+443842.9 00814-52443-0184 243.640730 44.645250 1.303 18.778 0.504 0.333 1.226 0.157 0.875 0.168 0 14.625
161433.77+443842.9 00814-52443-0184 243.640730 44.645250 1.303 18.778 1.046 0.343 1.724 0.108 1.675 0.120 0 14.625
161445.82+443944.3 00814-52443-0185 243.690930 44.662310 3.062 17.962 1.314 0.254 1.985 0.080 1.880 0.080 0 25.539
161445.82+443944.3 00814-52443-0185 243.690930 44.662310 3.062 17.962 1.445 0.651 0.817 0.071 0.541 0.068 0 25.539
161024.86+453548.3 00814-52443-0421 242.603590 45.596750 1.265 17.865 0.475 0.354 1.024 0.096 0.441 0.071 0 28.510
161545.16+453324.9 00814-52443-0549 243.938220 45.556930 2.889 18.952 1.197 0.991 0.903 0.097 0.510 0.084 0 15.368
161545.16+453324.9 00814-52443-0549 243.938220 45.556930 2.889 18.952 1.272 0.966 1.556 0.099 1.353 0.088 0 15.368
161545.16+453324.9 00814-52443-0549 243.938220 45.556930 2.889 18.952 1.701 0.794 1.394 0.119 1.208 0.121 0 15.368
161540.76+460451.0 00814-52443-0564 243.919850 46.080840 1.515 18.900 1.370 0.744 1.987 0.104 1.745 0.104 0 13.826
162037.68+451604.6 00814-52443-0627 245.157010 45.267960 1.101 17.892 1.020 0.544 0.444 0.065 0.493 0.065 0 24.718
140637.31-030331.5 00915-52443-0017 211.655470 -3.058780 2.442 18.849 1.509 0.880 1.358 0.118 0.944 0.105 0 13.272
140841.77-021502.5 00915-52443-0040 212.174070 -2.250720 3.341 19.237 1.141 0.962 1.750 0.216 2.119 0.212 1 8.098
140357.63-031607.5 00915-52443-0086 210.990140 -3.268750 1.845 18.233 1.224 0.554 1.312 0.134 0.605 0.098 0 14.605
140437.93-022137.4 00915-52443-0111 211.158080 -2.360400 2.927 18.500 1.989 0.000 1.198 0.117 1.110 0.143 0 17.958
140249.71-031047.6 00915-52443-0127 210.707140 -3.179910 1.861 18.769 1.232 0.887 0.844 0.101 0.904 0.109 0 13.915
140024.34-023134.3 00915-52443-0232 210.101460 -2.526210 2.230 19.764 1.623 0.000 1.961 0.239 1.345 0.256 0 5.554
140621.57-012121.4 00915-52443-0613 211.589890 -1.355960 2.155 18.522 0.559 0.361 0.988 0.144 0.450 0.126 1 12.493
140819.70-020238.5 00915-52443-0621 212.082100 -2.044050 0.580 18.718 0.375 0.268 0.897 0.130 0.727 0.124 0 11.709
213459.98+104205.7 00731-52460-0178 323.749900 10.701610 1.977 18.886 1.134 0.855 1.439 0.172 1.346 0.154 0 13.607
213459.98+104205.7 00731-52460-0178 323.749900 10.701610 1.977 18.886 1.317 0.765 1.726 0.100 1.370 0.106 0 13.607
213344.26+104316.8 00731-52460-0190 323.434450 10.721350 1.533 18.635 1.168 0.572 2.371 0.126 1.812 0.117 0 11.016
213344.26+104316.8 00731-52460-0190 323.434450 10.721350 1.533 18.635 1.460 0.000 0.808 0.107 0.747 0.106 0 11.016
213335.15+111522.4 00731-52460-0199 323.396480 11.256240 3.882 19.599 1.666 0.000 1.336 0.145 1.610 0.165 1 9.167
213023.61+122252.2 00731-52460-0327 322.598420 12.381180 3.272 17.929 1.689 0.000 0.620 0.091 0.368 0.072 0 21.420
213631.55+122017.2 00731-52460-0568 324.131500 12.338130 0.937 18.967 0.364 0.343 1.567 0.171 0.719 0.134 0 12.986
143256.63+494844.2 01046-52460-0119 218.235980 49.812280 2.542 17.460 0.942 0.161 0.725 0.047 0.320 0.052 1 28.111
143256.63+494844.2 01046-52460-0119 218.235980 49.812280 2.542 17.460 1.316 0.297 0.922 0.060 0.748 0.052 0 28.111
143256.63+494844.2 01046-52460-0119 218.235980 49.812280 2.542 17.460 1.825 0.826 0.501 0.070 0.339 0.065 0 28.111
143256.63+494844.2 01046-52460-0119 218.235980 49.812280 2.542 17.460 1.900 0.765 0.538 0.079 0.367 0.080 0 28.111
142605.78+500426.6 01046-52460-0229 216.524120 50.074070 2.244 17.750 1.413 0.486 1.427 0.075 1.029 0.080 0 24.235
142605.78+500426.6 01046-52460-0229 216.524120 50.074070 2.244 17.750 1.542 0.687 0.872 0.078 0.701 0.079 0 24.235
