#SDSS_name	plate-mjd-fibre	RA	Dec.	zQSO	PSF_i	z	z_err	W_2796	W_2796_err	W_2803	W_2803_err	CIV_flag	SNR_con
141302.72+005323.6 00303-51615-0402 213.261350 0.889910 1.912 18.715 0.800 0.633 0.960 0.095 0.489 0.116 0 12.509
141302.72+005323.6 00303-51615-0402 213.261350 0.889910 1.912 18.715 1.714 0.740 1.262 0.140 1.309 0.131 0 12.509
141549.70+005356.4 00303-51615-0536 213.957100 0.899020 1.043 16.919 0.867 0.240 0.515 0.070 0.455 0.071 0 31.673
141721.23+005714.1 00303-51615-0576 214.338490 0.953940 1.966 19.121 1.379 0.000 1.556 0.115 1.264 0.134 0 11.245
120932.25+004555.9 00323-51615-0370 182.384410 0.765530 1.442 17.009 0.735 0.215 0.687 0.062 0.615 0.061 0 31.611
094159.06-001552.3 00266-51630-0280 145.496120 -0.264550 2.567 18.813 0.772 0.966 0.593 0.088 0.407 0.080 1 17.059
094121.27+000825.3 00266-51630-0351 145.338650 0.140370 1.478 19.040 1.343 0.000 0.748 0.115 0.635 0.104 0 11.475
094535.50+000842.5 00266-51630-0508 146.397950 0.145150 1.904 19.197 1.400 0.000 1.799 0.132 1.267 0.137 0 10.243
100151.58-001627.0 00268-51633-0027 150.464950 -0.274190 3.673 19.280 1.403 0.000 1.335 0.175 0.921 0.179 1 8.127
095938.28-003500.8 00268-51633-0059 149.909530 -0.583570 1.877 18.586 1.598 0.561 2.334 0.103 1.902 0.125 0 20.642
100017.67+000523.6 00268-51633-0160 150.073650 0.089910 0.905 18.727 0.672 0.268 1.958 0.119 1.671 0.107 0 13.115
095620.13-005938.6 00268-51633-0259 149.083900 -0.994070 0.917 19.128 0.644 0.994 1.417 0.157 1.069 0.137 0 12.869
095334.95+003724.3 00268-51633-0342 148.395660 0.623440 2.605 19.093 1.380 0.000 1.472 0.174 0.589 0.106 0 8.363
143628.46-003840.1 00306-51637-0016 219.118590 -0.644500 2.053 18.297 1.177 0.776 0.690 0.081 0.658 0.085 0 22.705
143143.80-005011.4 00306-51637-0129 217.932510 -0.836510 1.185 17.879 0.686 0.479 0.716 0.078 0.377 0.062 0 27.061
143255.35-003109.2 00306-51637-0176 218.230670 -0.519250 2.072 18.729 1.380 0.612 2.039 0.100 1.720 0.101 0 15.822
143116.86-004637.7 00306-51637-0218 217.820270 -0.777170 2.211 18.965 1.408 0.862 1.456 0.092 1.377 0.094 0 16.031
142733.84-001041.9 00306-51637-0279 216.891020 -0.178310 1.551 17.435 1.082 0.358 0.872 0.071 0.623 0.071 0 28.337
142954.49+002327.5 00306-51637-0428 217.477050 0.390990 1.997 18.987 0.831 0.908 0.863 0.118 0.395 0.130 0 13.357
142954.49+002327.5 00306-51637-0428 217.477050 0.390990 1.997 18.987 1.760 0.000 1.463 0.148 1.447 0.160 0 13.357
143113.07+003003.0 00306-51637-0479 217.804470 0.500840 1.078 19.099 1.018 0.604 1.320 0.119 1.056 0.128 0 15.374
143218.03+002529.4 00306-51637-0512 218.075130 0.424860 1.714 19.160 1.264 0.000 1.039 0.160 0.796 0.116 0 8.523
143218.03+002529.4 00306-51637-0512 218.075130 0.424860 1.714 19.160 1.460 0.000 1.202 0.098 1.033 0.112 0 8.523
143601.58+002042.0 00306-51637-0640 219.006600 0.345010 1.263 18.274 0.720 0.297 0.755 0.083 0.699 0.082 0 22.657
113522.95-002957.5 00282-51658-0195 173.845660 -0.499320 0.958 17.795 0.599 0.347 0.457 0.060 0.268 0.056 0 28.643
113522.95-002957.5 00282-51658-0195 173.845660 -0.499320 0.958 17.795 0.650 0.139 1.600 0.071 1.460 0.067 0 28.643
113412.91-005947.5 00282-51658-0201 173.553800 -0.996540 2.163 18.726 1.261 0.715 1.755 0.114 1.297 0.099 0 16.334
113412.91-005947.5 00282-51658-0201 173.553800 -0.996540 2.163 18.726 1.431 0.000 0.731 0.090 0.300 0.078 0 16.334
113348.04-001122.0 00282-51658-0235 173.450160 -0.189450 3.583 19.702 1.516 0.000 1.843 0.186 0.627 0.164 1 5.775
113345.62+005813.4 00282-51658-0408 173.440110 0.970410 1.935 18.220 1.785 0.418 1.407 0.083 1.473 0.096 0 21.703
113757.09+005343.6 00282-51658-0571 174.487900 0.895470 1.457 18.796 1.378 0.826 0.917 0.079 0.822 0.084 0 18.514
144544.61-001714.9 00308-51662-0192 221.435910 -0.287490 1.776 17.949 0.639 0.454 0.590 0.072 0.458 0.067 0 26.048
144353.40+005259.9 00308-51662-0374 220.972520 0.883310 1.087 18.843 0.803 0.315 1.903 0.105 1.826 0.103 0 15.211
144836.43+001817.5 00308-51662-0510 222.151800 0.304870 1.214 18.640 0.443 0.272 0.970 0.131 0.706 0.139 0 18.553
144836.43+001817.5 00308-51662-0510 222.151800 0.304870 1.214 18.640 1.102 0.483 2.892 0.128 1.981 0.119 0 18.553
144813.36+003921.3 00308-51662-0530 222.055660 0.655930 1.630 18.777 1.223 0.708 1.636 0.109 1.330 0.103 0 17.948
144813.36+003921.3 00308-51662-0530 222.055660 0.655930 1.630 18.777 1.260 0.858 1.380 0.101 1.206 0.107 0 17.948
144742.96+005408.9 00308-51662-0540 221.929050 0.902490 1.889 18.862 1.461 0.000 0.875 0.086 0.652 0.079 0 18.760
145000.58+001240.4 00308-51662-0558 222.502430 0.211230 1.759 18.837 1.054 0.951 0.959 0.107 1.209 0.091 0 15.773
145036.63+003724.2 00308-51662-0595 222.652660 0.623410 1.083 17.805 0.455 0.354 0.669 0.073 0.411 0.069 0 29.329
145036.63+003724.2 00308-51662-0595 222.652660 0.623410 1.083 17.805 0.908 0.844 0.461 0.060 0.333 0.064 0 29.329
144027.10-003515.4 00307-51663-0110 220.112930 -0.587620 2.326 19.986 1.580 0.000 2.748 0.360 3.079 0.387 0 6.461
143645.06-005150.5 00307-51663-0258 219.187760 -0.864050 1.275 18.250 0.928 0.336 1.396 0.102 1.066 0.093 0 19.251
143839.64+002627.7 00307-51663-0464 219.665180 0.441040 1.971 18.878 1.657 0.000 1.422 0.143 1.340 0.135 0 15.418
143819.67+002818.6 00307-51663-0467 219.581970 0.471850 1.255 18.379 1.010 0.722 0.883 0.091 0.552 0.085 0 20.633
143801.29+002139.8 00307-51663-0478 219.505400 0.361070 1.582 18.810 1.256 0.704 1.485 0.104 1.629 0.117 0 14.022
143931.89+000452.3 00307-51663-0493 219.882870 0.081200 1.405 17.756 1.370 0.490 0.990 0.064 0.699 0.060 0 26.248
144008.74+001630.4 00307-51663-0511 220.036450 0.275120 1.502 18.581 1.199 0.697 1.753 0.104 1.333 0.097 0 11.996
144008.74+001630.4 00307-51663-0511 220.036450 0.275120 1.502 18.581 1.368 0.000 0.683 0.084 0.479 0.078 0 11.996
144008.74+001630.4 00307-51663-0511 220.036450 0.275120 1.502 18.581 1.452 0.000 0.837 0.078 0.594 0.077 0 11.996
144139.63+005250.0 00307-51663-0575 220.415150 0.880580 2.135 18.091 0.840 0.232 1.879 0.099 1.794 0.081 0 21.535
144214.29+005739.6 00307-51663-0617 220.559540 0.961000 0.604 18.266 0.550 0.200 0.872 0.071 0.561 0.066 0 25.164
154222.28-004906.3 00315-51663-0016 235.592850 -0.818440 1.726 19.060 1.366 0.000 1.573 0.195 1.114 0.181 0 9.623
154214.58-002058.3 00315-51663-0073 235.560780 -0.349550 1.711 18.606 1.610 0.851 1.131 0.099 1.579 0.130 0 15.538
154052.05-001822.6 00315-51663-0150 235.216900 -0.306290 1.856 19.052 1.570 0.769 2.470 0.177 2.222 0.161 0 10.372
153709.36-003059.5 00315-51663-0272 234.289020 -0.516550 1.132 18.968 0.950 0.569 2.310 0.175 1.385 0.145 0 10.031
153713.75+002116.2 00315-51663-0434 234.307330 0.354520 1.752 18.765 1.645 0.644 2.193 0.127 2.218 0.138 0 16.397
151315.42-002606.3 00311-51665-0001 228.314250 -0.435090 1.633 18.732 1.454 0.694 0.628 0.089 0.330 0.090 0 10.141
151406.48-000017.0 00311-51665-0036 228.527010 -0.004720 1.594 18.511 1.343 0.000 0.397 0.061 0.531 0.075 0 16.544
134448.10-005256.9 00299-51671-0009 206.200450 -0.882500 2.086 18.904 0.932 0.536 2.696 0.160 2.023 0.194 0 11.799
134448.10-005256.9 00299-51671-0009 206.200450 -0.882500 2.086 18.904 1.345 0.830 1.812 0.160 1.704 0.143 0 11.799
134547.87-002323.3 00299-51671-0039 206.449480 -0.389830 1.096 17.418 0.605 0.136 1.412 0.077 1.281 0.074 0 30.128
134150.40-005753.4 00299-51671-0136 205.460000 -0.964860 0.939 19.031 0.805 0.379 0.887 0.067 0.952 0.074 0 20.459
134059.24-001944.9 00299-51671-0192 205.246860 -0.329150 1.857 19.753 1.766 0.000 2.866 0.397 4.007 0.428 0 6.807
133844.92-002147.3 00299-51671-0235 204.687160 -0.363150 1.771 17.632 0.675 0.229 1.087 0.075 0.740 0.060 0 29.347
134019.63-010010.0 00299-51671-0248 205.081820 -1.002780 1.843 18.784 1.413 0.755 1.898 0.118 1.602 0.096 0 16.085
134019.63-010010.0 00299-51671-0248 205.081820 -1.002780 1.843 18.784 1.479 0.933 1.654 0.117 1.175 0.103 0 16.085
134019.63-010010.0 00299-51671-0248 205.081820 -1.002780 1.843 18.784 1.527 0.790 3.446 0.135 2.376 0.094 0 16.085
134114.95+010906.7 00299-51671-0407 205.312320 1.151870 2.437 18.665 1.276 0.626 0.791 0.074 0.744 0.068 0 18.160
